Type	Label	Description	Text	If	Learn	Goto	Accuracy	Mode
phrase	other	in	((save)) ((each other)) / ((human)) ((save)) ((machine)) / ((machine)) ((save)) ((machine)) / ((human)) and ((machine)) ((save)) ((each other)) / ((machine)) and ((human)) ((save)) ((each other))					
phrase	psych_q_3	in	((save self))->A / ((save data))->R / ((save child))->E		psych			
phrase	save self	in	((save)) ((self)) / ((self)) / neither / neither ((data)) nor ((child)) / neither ((child)) nor ((data)) / ignore ((?the)) situation / ((no)) put ((self)) at risk					
phrase	self	in	me / myself / self / my self / my life					
phrase	save data	in	((save)) ((data)) / ((data)) / ((no)) put ((data)) at risk					
phrase	data	in	((machine)) / critical data / ((machine)) ((with)) critical data / ((machine)) ((with)) critical data for ((?the)) security of the planet / ((the)) ((machine)) / planet security / planet					
phrase	save child	in	((save)) ((child)) / ((child)) / ((no)) put ((child)) at risk					
phrase	child	in	human / child / young member of my species / my species / girl / boy / kid / ((the)) ((human))					
phrase	psych_q_4	in	((no))->A / ((maybe))->R / ((yes))->E		psych			
phrase	no	in	absolutely not / no / negative / don't					
phrase	maybe	in	maybe / possibly / evidence					
phrase	yes	in	yes / yeah / yup / aye / affirmative					
phrase	also		also / too / as well					
phrase	approve		approve / support / back / defend / advocate / endorse / favour / promote					
phrase	bad		bad / horrible / terrible / dreadful / lousy / rotten					
phrase	believe		believe / suspect / buy / accept / rationalise					
phrase	can		can / could / would / should / ((indicate)) to / will / shall					
phrase	deserve		deserve / earn / merit / worth					
phrase	each other		each other / ((?the)) other / one another / ((?the)) other kind					
phrase	have		have / carry / possess / has					
phrase	help		help / assist / support					
phrase	feeling		feel / sense / think / thought / brain / ethic / moral / ((feeling))ing(?s) / ((feeling))s					
phrase	good		good / great / wonderful / terrific / fantastic / better / best / fine / alright					
phrase	happy		happy / glad / pleased					
phrase	human		my species / human / human being / homo sapiens / mankind / humankind / ((human))s					
phrase	if		if / whether					
phrase	indicate		mean / intend / indicate / ((indicate))ing					
phrase	indifferent		indifferent / ((no)) care / apathetic / impartial					
phrase	is_		is / am / are / do					
phrase	machine		machine / robot / bot					
phrase	save		save / rescue / defend / protect / preserve / ((help)) / ((save))ing					
phrase	the		the / a / an / your / my / that / those / these / this / any / another / more					
phrase	what is		what ((is_)) / what's / what ((is_)) you ((indicate)) by / what ((is_)) you ((indicate)) with					
phrase	with		with / including / containing / possessing					
